word	nodeType	unit
perfect	ADJ	vol-7
funny	ADJ	vol-7
bad	ADJ	vol-7
bad	ADJ	vol-7
raw	ADJ	vol-7
first	ADJ	vol-7
short	ADJ	vol-7
broken	ADJ	vol-7
clear	ADJ	vol-7
tidal	ADJ	vol-7
terrible	ADJ	vol-7
same	ADJ	vol-7
powerful	ADJ	vol-7
circular	ADJ	vol-7
old	ADJ	vol-7
old	ADJ	vol-7
same	ADJ	vol-7
okay	ADJ	vol-7
ok	ADJ	vol-7
many	ADJ	vol-7
able	ADJ	vol-7
silly	ADJ	vol-7
fun	ADJ	vol-7
hard	ADJ	vol-7
more	ADJ	vol-7
true	ADJ	vol-7
right	ADJ	vol-7
spanish	ADJ	vol-7
